cell,cyc,capacity_mAh,Tmax_C,R0_ohm
1,0,739.1109210621779,41.174809,
1,100,730.1929494056872,41.124866,
1,200,725.7467375962049,41.1124,
1,300,722.8431973239306,41.124866,
1,400,718.3668958430143,41.124866,
1,500,714.9787006955092,41.124866,
1,600,711.6204053941345,41.087425,
1,700,709.5321170323996,41.174809,
1,800,705.8480111354505,41.174809,
1,900,702.5449768529222,41.212246,
1,1000,699.4156477527364,41.174809,
1,1100,696.2835912151658,41.262188,
1,1200,693.2672854322545,41.212246,
1,1300,690.3687943593548,41.187275,
1,1400,687.6192406848993,41.19978,
1,1600,681.8263154580586,0.52218843,
1,1800,675.8871270316637,41.312096,
1,1900,672.743285643124,41.262188,
1,2000,669.7317983178508,41.174809,
1,2100,667.4184829442038,41.212246,
1,2200,663.9526202195469,41.249683,
1,2300,661.4396086354981,41.299629,
1,2400,658.2324497447104,41.362038,
1,2500,656.3019662937012,41.337067,
1,2600,652.7810452742547,41.411942,
1,2700,651.274269703515,41.312096,
1,2800,648.8501025188361,41.374504,
1,2900,645.0218397585212,41.3246,
1,3000,644.1689847636143,41.424446,
1,3100,642.0891597582703,41.411942,
1,3200,638.7729233128966,41.374504,
1,3300,637.8192441609972,41.299629,
1,3500,632.2030179733683,41.162304,
1,3600,631.7444982024535,41.187275,
1,3700,629.5202834064332,41.761467,
1,3800,625.4908168324312,41.349533,
1,3900,625.2583088284471,41.337067,
1,4000,623.5531647570597,41.399475,
1,4100,620.4774481988763,41.349533,
1,4200,619.5186640586243,41.337067,
1,4300,617.6078318476868,41.312096,
1,4400,615.7261856172588,41.312096,
1,4500,612.7444427379218,41.299629,
1,4600,612.349611637397,41.237221,
1,4800,608.8768448422716,41.274654,
1,5000,604.2869401481527,41.237221,
1,5100,603.2069763171048,41.19978,
1,5200,599.8239008415256,41.524292,
1,5300,599.8621534882067,41.499325,
1,5400,598.158701601549,41.486858,
1,5500,594.2801484523485,41.611675,
1,5600,594.4675726175096,41.524292,
1,5700,592.857351306983,41.599209,
1,5800,590.4253670448167,41.599209,
1,5900,589.4471143131173,41.574238,
1,6000,588.1173065952115,41.561733,
1,6100,585.5603691386312,41.624142,
1,6200,585.7463794615072,41.574238,
1,6300,584.1518310216064,41.5368,
1,6400,581.2757619596863,41.636646,
1,6500,581.6547783101196,41.611675,
1,6600,580.0334389678039,41.586704,
1,6700,577.6338801898363,41.586704,
1,6800,577.5893924134589,41.586704,
1,6900,576.416770813853,41.586704,
1,7000,573.0979789577467,41.561733,
1,7100,573.0979789577467,41.561733,
1,7200,574.9714659926825,41.574238,
1,7300,572.0375640082297,41.574238,
1,7400,570.436583787218,41.586704,
1,7500,568.267859513994,41.624142,
1,7600,567.7929103307428,41.499325,
1,7700,566.7532309264086,41.499325,
1,7800,564.2265724626601,41.499325,
1,7900,564.3176975749817,41.486858,
1,8000,563.0464545433011,41.474392,
1,8100,560.0135969052836,41.611675,
1,8200,560.6495828680589,41.436913,
2,0,734.8189656975843,41.233673,
2,100,726.6220579061855,41.183769,
2,200,722.1571400208163,41.158836,
2,300,719.2156200035366,41.258644,
2,400,714.5823074647996,41.196236,
2,500,711.1216758331502,41.183769,
2,600,708.0616104027846,41.171303,
2,700,705.4509534216545,41.258644,
2,800,701.9102314870742,41.233673,
2,900,699.2549903478053,41.233673,
2,1000,696.6637550136685,41.196236,
2,1100,693.9847933360154,41.258644,
2,1200,691.2011130181581,41.24614,
2,1300,688.2824454375678,41.233673,
2,1400,685.4468687684393,41.24614,
2,1600,679.5110214082981,41.408356,
2,1800,674.0054456104837,41.383389,
2,1900,670.6497832609933,41.370922,
2,2000,667.3525808571167,41.296082,
2,2100,665.2355876842753,41.345989,
2,2200,661.5433404840155,41.383389,
2,2300,659.7519802009176,41.395889,
2,2400,656.2873914063993,41.420822,
2,2500,654.6501051945633,41.458263,
2,2600,650.3893528573778,41.495701,
2,2700,649.6653133077699,41.433331,
2,2800,647.1329168947415,41.433331,
2,2900,642.1348249865453,41.420822,
2,3000,641.7052831471693,41.47073,
2,3100,638.9952205493706,41.458263,
2,3200,634.9703545346578,41.495701,
2,3300,634.2086228227167,41.420822,
2,3500,627.7048777025079,41.321014,
2,3600,628.1200744890406,41.333481,
2,3700,626.1354826394687,41.994781,
2,3800,621.1583132684733,41.420822,
2,3900,621.4628930235764,41.395889,
2,4000,619.5183548363003,41.420822,
2,4100,615.5350095355564,41.408356,
2,4200,614.8821184840259,41.395889,
2,4300,612.8973459219055,41.345989,
2,4400,610.9128049558445,41.345989,
2,4500,607.28245491411,41.383389,
2,4600,606.9661398070712,41.296082,
2,4800,603.2893260278694,41.321014,
2,5000,565.6961522931484,41.420822,
2,5100,577.9189479132826,41.420822,
2,5200,575.4802012975294,41.720291,
2,5300,580.878875800554,41.607975,
2,5400,581.026022733551,41.607975,
2,5500,575.9512937736342,41.782658,
2,5600,578.8701634543729,41.657917,
2,5700,578.0391777470296,41.670383,
2,5800,575.294154472195,41.732754,
2,5900,574.6726428197767,41.68285,
2,6000,573.0003167713386,41.645412,
2,6100,567.463746839281,41.832565,
2,6200,570.4755641019322,41.707825,
2,6300,568.8010284364556,41.607975,
2,6400,562.7251821399774,41.882507,
2,6500,565.7941735212776,41.74522,
2,6600,563.8357095455017,41.607975,
2,6700,561.4334759774204,41.832565,
2,6800,564.0030095218641,41.74522,
2,6900,562.1277485994194,41.707825,
2,7000,556.2119202810296,41.882507,
2,7100,556.3346788557027,41.732754,
2,7200,556.887525681366,41.757725,
2,7300,557.1166198494262,41.720291,
2,7400,501.4350458651225,41.68285,
2,7500,562.233702061415,41.62048,
2,7600,558.6320678634678,41.632946,
2,7700,544.914770679986,41.807632,
3,0,735.119595112905,40.821388,
3,100,726.6872270437656,40.771484,
3,200,722.7328355075854,40.783951,
