cell,cyc,ica_peak1_V,ica_peak1_val,ica_peak2_V,ica_peak2_val,ica_area_abs
1,0,3.7690484863636358,5935.272234387172,3.767095386602871,5545.300209734982,740.3345924491861
1,100,3.769175843283582,5384.508923579546,3.767251244444444,5302.34396157942,735.141496688637
1,200,3.767247544019139,5077.298396493294,3.7691890070270273,4939.013327311317,731.6654486360678
1,300,3.7671549227979275,4767.044297984743,3.7691123898876406,4535.102917001583,727.2225393775952
1,400,3.767052401675978,4512.134779940461,3.7689920720496897,4216.370295783272,724.3494280701897
1,500,3.7670877307692314,4237.186502870609,3.7690457469387764,3891.2377881924913,720.6328493876127
1,600,3.7670567796296295,4006.647540082209,3.769057655882353,3605.8877715249837,717.3338104334431
1,700,3.767018006666667,3663.970088274058,3.765082448412698,3355.0811148147914,714.0467467336962
1,800,3.7670257677165355,3497.5693229751632,3.765134040833333,3260.678979116303,711.0058095617909
1,900,3.7668948876033057,3231.006151944821,3.7649748220183485,3018.4001403224684,707.8098170013878
1,1000,3.7671878390476183,2970.6914782651293,3.765245964220184,2905.9229064212705,704.5997891040254
1,1100,3.7671093549999997,2797.9044128696696,3.7651753588235297,2745.529861229603,701.4903317526487
1,1200,3.724880684444444,2622.9531465026957,3.726845445918367,2617.548064649469,698.373774797746
1,1300,3.7249133440000004,2694.021809779617,3.726858108888889,2658.396786793688,695.512502986768
1,1400,3.7252445730000012,2730.6051473986154,3.727232605263157,2661.3198447698524,692.7684956191771
1,1600,3.7250074904761905,2859.1148408317677,3.727010098,2792.329491785975,686.8051127792398
1,1800,3.7251176673267326,2894.969532584917,3.723172986538462,2862.363677183632,680.8728160700955
1,1900,3.7251587186915884,2958.096059418647,3.7232169125000003,2933.8111634755624,677.7883730190221
1,2000,3.7250333939130438,2980.9298337332,3.7229868700934583,2954.477784279079,675.0054299675568
1,2100,3.7250483833333328,2901.903018819168,3.723063174509804,2893.306366333083,672.3545118888644
1,2200,3.7228428905660365,2997.811130998525,3.7248472814159292,2993.8677695781225,669.1802464107109
1,2300,3.723254113207547,2905.803419325108,3.725199306,2877.1266340353905,666.7100415523877
1,2400,3.7231033770642203,2977.292812301428,3.7250964281818186,2975.2732118989225,663.7570335261782
