cell,cyc,capacity_mAh,Tmax_C,ica_peak1_V,ica_peak1_val,ica_peak2_V,ica_peak2_val,ica_area_abs,degradation_phase,deg_rate_final
1,0,739.1109210621779,41.174809,3.769048486363636,5935.272234387172,3.767095386602871,5545.300209734996,740.3345924491858,Phase 1,
1,100,730.1929494056872,41.124866,3.769175843283582,5384.508923579517,3.767251244444444,5302.343961579463,735.141496688637,Phase 1,0.07117925656656439
1,200,725.7467375962049,41.1124,3.767247544019139,5077.298396493294,3.7691890070270273,4939.0133273113315,731.6654486360677,Phase 1,0.056284953868914724
1,300,722.8431973239306,41.124866,3.767154922797927,4767.044297984743,3.7691123898876406,4535.102917001597,727.2225393775952,Phase 1,0.03414624105756047
1,400,718.3668958430143,41.124866,3.767052401675978,4512.134779940476,3.7689920720496897,4216.3702957832575,724.3494280701898,Phase 1,0.03662412253724483
1,500,714.9787006955092,41.124866,3.767087730769231,4237.186502870623,3.769045746938776,3891.237788192535,720.6328493876127,Phase 1,0.039039712283728246
1,600,711.6204053941345,41.087425,3.7670567796296295,4006.647540082224,3.769057655882353,3605.887771524969,717.3338104334433,Phase 1,0.02809360002875792
1,700,709.5321170323996,41.174809,3.767018006666667,3663.9700882740726,3.765082448412698,3355.0811148147914,714.0467467336961,Phase 1,0.028553150925508818
1,800,705.8480111354505,41.174809,3.767025767716535,3497.569322975134,3.765134040833333,3260.678979116288,711.005809561791,Phase 1,0.03081794250703183
1,900,702.5449768529222,41.212246,3.7668948876033057,3231.006151944792,3.764974822018349,3018.400140322483,707.8098170013878,Phase 1,0.0349290765916237
1,1000,699.4156477527364,41.174809,3.7671878390476183,2970.6914782651293,3.765245964220184,2905.922906421242,704.5997891040254,Phase 1,0.03151955700136114
1,1100,696.2835912151658,41.262188,3.767109355,2797.9044128696696,3.7651753588235297,2745.5298612296174,701.4903317526484,Phase 1,0.03096800104845215
1,1200,693.2672854322545,41.212246,3.724880684444444,2622.9531465026957,3.726845445918367,2617.548064649469,698.373774797746,Phase 2,0.030287748946060445
1,1300,690.3687943593548,41.187275,3.724913344,2694.0218097796023,3.726858108888889,2658.396786793688,695.512502986768,Phase 2,0.021106328901507824
1,1400,687.6192406848993,41.19978,3.7252445730000017,2730.6051473986154,3.727232605263157,2661.319844769838,692.7684956191769,Phase 2,0.058236922190003496
1,1800,675.8871270316637,41.312096,3.725117667326733,2894.969532584917,3.723172986538462,2862.363677183559,680.8728160700955,Phase 2,0.018031195547602293
1,1900,672.743285643124,41.262188,3.725158718691589,2958.096059418691,3.7232169125,2933.811163475548,677.7883730190221,Phase 2,0.06147997377227739
1,2000,669.7317983178508,41.174809,3.725033393913044,2980.9298337332148,3.7229868700934583,2954.4777842790645,675.0054299675568,Phase 2,0.020310639012059255
1,2100,667.4184829442038,41.212246,3.7250483833333328,2901.9030188191973,3.723063174509804,2893.306366333083,672.3545118888644,Phase 2,0.028595429438112205
1,2200,663.9526202195469,41.249683,3.722842890566037,2997.81113099851,3.7248472814159297,2993.8677695781516,669.180246410711,Phase 2,0.02805132890380946
1,2300,661.4396086354981,41.299629,3.723254113207547,2905.803419325108,3.725199306,2877.126634035347,666.7100415523877,Phase 2,0.03144744566862869
1,2400,658.2324497447104,41.362038,3.72310337706422,2977.292812301399,3.725096428181818,2975.2732118989225,663.7570335261784,Phase 2,0.024823797237650068
1,2500,656.3019662937012,41.337067,3.723200551923077,2895.021979049634,3.725190174528302,2859.334798717551,661.4891193009496,Phase 2,0.028998804607315378
1,2600,652.7810452742547,41.411942,3.723091641525425,3115.465963544455,3.7250623057142858,3030.886852240321,658.2350482047824,Phase 2,0.02405965353290753
1,2700,651.274269703515,41.312096,3.723082000000001,2916.8749049111357,3.7250652097087382,2867.5652414859796,656.4510746481293,Phase 2,0.022765715576601907
1,2800,648.8501025188361,41.374504,3.7232112886792454,2894.9302967919357,3.7252052528846153,2830.0076452098147,654.2376374128721,Phase 2,0.026317135448324508
1,2900,645.0218397585212,41.3246,3.723196885217392,3126.370728945214,3.721198288288288,3049.547905163534,650.6375750855892,Phase 2,0.026755694672036725
1,3000,644.1689847636143,41.424446,3.723236018348624,2946.291091480278,3.7212485592233016,2897.6717869686254,649.3055639794651,Phase 2,0.01866095421584873
1,3100,642.0891597582703,41.411942,3.7232765163461536,2888.822103246581,3.721246086915888,2829.007213126475,647.3726475147486,Phase 2,0.019570515815192948
1,3300,637.8192441609972,41.299629,3.72306218,2853.6932478506205,3.721081696,2811.3747641815426,643.1295878432652,Phase 2,0.023001007881693455
1,3500,632.2030179733683,41.162304,3.722907299090909,2925.9214558837557,3.720906284615384,2914.569788009583,638.0960075799437,Phase 2,0.018173792925978205
1,3600,631.7444982024535,41.187275,3.723350956730769,2848.3229872983065,3.721355124038461,2847.667357374652,636.5797657187782,Phase 2,0.039064701712454734
1,3800,625.4908168324312,41.349533,3.7209205584070792,2995.536098390614,3.722903675,2986.365284265965,631.5273891830309,Phase 2,0.013234400830302775
1,3900,625.2583088284471,41.337067,3.7211132075471696,2864.4417603811744,3.723138569902913,2825.156639222667,630.3618829064069,Phase 2,0.025387380679244415
1,4000,623.5531647570597,41.399475,3.7212935950980386,2774.594823055115,3.723287133673469,2753.0616312374186,628.7485965687684,Phase 2,0.013442499265362357
1,4100,620.4774481988763,41.349533,3.721105669607843,2853.281902223898,3.7190831716981134,2809.4194933534745,626.4826106543815,Phase 2,0.022235514109721636
1,4200,619.5186640586243,41.337067,3.72108063939394,2744.3432047788374,3.719061589215686,2704.3930480414856,624.9775119101668,Phase 2,0.01867929848808217
1,4300,617.6078318476868,41.312096,3.721090465625,2675.194123573805,3.723109236734694,2653.94536505657,623.065586644363,Phase 2,0.01348926869141792
1,4400,615.7261856172588,41.312096,3.720917168367347,2635.244350873996,3.718962062921349,2584.91888570023,621.4487721832404,Phase 2,0.023469202114496282
1,4600,612.349611637397,41.237221,3.720955620430108,2538.099155704549,3.718955519565216,2529.442973167738,618.2804427057147,Phase 2,0.01459321474987462
1,4800,608.8768448422716,41.274654,3.72099225505618,2499.413534986641,3.719046928735632,2469.2409827008814,615.1699407369072,Phase 2,0.020821421345781344
1,5000,604.2869401481527,41.237221,3.719154376086956,2519.400607665186,3.721133701123595,2502.4018732699624,610.9914950854435,Phase 2,0.016054599849682633
1,5100,603.2069763171048,41.19978,3.718861423333333,2435.6379724756844,3.7208804617977527,2412.662589553496,609.9892841243579,Phase 2,0.02963760134824497
1,5200,599.8239008415256,41.524292,3.71912705257732,2537.7058864663995,3.717109042696629,2504.6970006158226,607.2484241778541,Phase 2,0.014609356444262858
1,5300,599.8621534882067,41.499325,3.718986575,2462.978501513324,3.7210014958333337,2455.6355355385895,606.3698240866154,Phase 2,0.01300356640357677
1,5400,598.158701601549,41.486858,3.719093818390804,2404.2440240563155,3.721021504819277,2367.1451723533683,604.8320112484749,Phase 2,0.018701524049189403
1,5500,594.2801484523485,41.611675,3.71716131235955,2483.5469295570074,3.719139098888889,2470.4010575551656,602.1089628073555,Phase 2,0.02268909434366492
1,5600,594.4675726175096,41.524292,3.719120786746988,2404.5032435771427,3.717151408988764,2396.941148978978,601.198023721733,Phase 2,0.014363649789289638
1,5700,592.857351306983,41.599209,3.719135296551724,2351.1303262084693,3.7171604,2318.1504838056717,599.7268938364696,Phase 2,0.011353733085804833
1,5800,590.4253670448167,41.599209,3.7190161546511624,2319.980011824984,3.717033563855421,2301.1723844991793,597.7754352765338,Phase 2,0.01970807723008761
1,5900,589.4471143131173,41.574238,3.719248160493826,2258.39720604982,3.71727331125,2224.771562198599,596.825513352581,Phase 2,0.014077235399552137
1,6000,588.1173065952115,41.561733,3.7190112174999994,2222.9694804998,3.7170098962962967,2213.069036520872,595.6275914991561,Phase 2,0.01665459761310899
1,6100,585.5603691386312,41.624142,3.7173775,2285.8020131474477,3.7193413555555552,2250.3192670262943,594.4184603602039,Phase 2,0.014135743424977818
1,6200,585.7463794615072,41.574238,3.719043565333333,2217.7459263082856,3.717098271951219,2214.9811839561007,593.5467893425445,Phase 2,0.00972514997983012
1,6300,584.1518310216064,41.5368,3.7191980302631578,2191.1105443551933,3.717286657142857,2176.6078410131595,592.1634302769708,Phase 2,0.015101218579543456
1,6400,581.2757619596863,41.636646,3.717181811111112,2225.9526460284833,3.7151633666666664,2178.7291554787807,590.6734471474288,Phase 2,0.016906734876552035
1,6500,581.6547783101196,41.611675,3.717154810256411,2202.25063621717,3.719108025316455,2191.744151581923,589.3525470400949,Phase 2,0.010155228925674465
1,6600,580.0334389678039,41.586704,3.7191198571428594,2135.1006613623467,3.7171351,2134.5933209783543,588.2313404426245,Phase 2,0.012299316409967105
1,6700,577.6338801898363,41.586704,3.715127812345679,2167.9639758451813,3.717144483116883,2159.3872558428266,586.1667838588875,Phase 2,0.016686173972070718
1,6800,577.5893924134589,41.586704,3.716979654430381,2231.1315610724996,3.718964446835442,2204.6704614532937,584.5307071997183,Phase 2,0.008229160895436962
1,6900,576.416770813853,41.586704,3.7171380316455696,2192.0937180588808,3.7191141428571424,2172.70901310943,583.4640920836588,Phase 2,0.015170070414058046
1,7000,573.0979789577467,41.561733,3.7148989975000006,2091.9086769361747,3.7169041041095894,2085.8304312082328,581.9953645044874,Phase 2,0.021707976721357908
